Thunderobot ZERO EC Register Dump (Idle State)
Date: 2026-04-01
CPU Temp: ~63°C, GPU Temp: ~47°C
Fan1: ~33%, Fan2: ~31% (Auto mode)

   | 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
---|------------------------------------------------
00 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
20 | 00 00 00 00 00 00 00 00 00 00 00 00 FF FF 21 1F
30 | 00 00 33 00 41 82 00 00 01 00 00 00 00 00 00 00
40 | 0B 00 00 14 00 00 00 00 00 2C 2E 00 00 00 00 00
50 | 90 00 04 00 02 00 00 00 3F 2F 00 00 00 00 00 00
60 | 00 00 00 00 7F 03 00 00 08 40 00 09 00 0E 0E 00
70 | 87 10 C3 10 60 3B 80 53 4D 50 5F 43 41 36 30 36
80 | 30 37 30 00 00 AD 10 4F 43 00 00 00 01 E0 00 00
90 | 00 00 C3 10 05 01 64 00 00 00 00 00 00 17 0C 00
A0 | 00 80 11 AA 01 00 00 00 00 15 00 00 00 01 00 02
B0 | 23 08 CC 08 00 01 F7 2A C8 00 00 08 00 08 00 00
C0 | 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 05
D0 | 64 00 00 00 00 00 00 01 64 00 00 11 00 00 D1 D1
E0 | 00 00 01 00 00 00 00 0A 00 00 00 01 0A 66 00 00
F0 | 29 00 20 00 00 00 00 00 00 00 50 30 30 37 44 30
